,yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam
1710,1991.0,11.0,1.0,11.0,Terrell Brandon,CLE,Oregon,College/University,210.0,1610612739.0,Cleveland Cavaliers
1711,1991.0,12.0,1.0,12.0,Greg Anthony,NYK,Nevada-Las Vegas,College/University,21.0,1610612752.0,New York Knicks
1712,1991.0,13.0,1.0,13.0,Dale Davis,IND,Clemson,College/University,905.0,1610612754.0,Indiana Pacers
1713,1991.0,14.0,1.0,14.0,Rich King,SEA,Nebraska,College/University,1101.0,1610612760.0,Seattle SuperSonics
1714,1991.0,15.0,1.0,15.0,Anthony Avent,ATL,Seton Hall,College/University,138.0,1610612737.0,Atlanta Hawks
1715,1991.0,16.0,1.0,16.0,Chris Gatling,GOS,Old Dominion,College/University,423.0,1610612744.0,Golden State Warriors
1716,1991.0,17.0,1.0,17.0,Victor Alexander,GOS,Iowa State,College/University,2349.0,1610612744.0,Golden State Warriors
1717,1991.0,18.0,1.0,18.0,Kevin Brooks,MIL,Louisiana-Lafayette,College/University,76265.0,1610612749.0,Milwaukee Bucks
1718,1991.0,19.0,1.0,19.0,Labradford Smith,WAS,Louisville,College/University,78194.0,1610612764.0,Washington Bullets
1719,1991.0,20.0,1.0,20.0,John Turner,HOU,Phillips,College/University,1819.0,1610612745.0,Houston Rockets
1720,1991.0,21.0,1.0,21.0,Eric Murdock,UTH,Providence,College/University,785.0,1610612762.0,Utah Jazz
1721,1991.0,22.0,1.0,22.0,LeRon Ellis,LAC,Syracuse,College/University,1034.0,1610612746.0,Los Angeles Clippers
1722,1991.0,23.0,1.0,23.0,Stanley Roberts,ORL,Louisiana State,College/University,914.0,1610612753.0,Orlando Magic
1723,1991.0,24.0,1.0,24.0,Rick Fox,BOS,North Carolina,College/University,296.0,1610612738.0,Boston Celtics
1724,1991.0,25.0,1.0,25.0,Shaun Vandiver,GOS,Colorado,College/University,83585.0,1610612744.0,Golden State Warriors
1725,1991.0,26.0,1.0,26.0,Mark Randall,CHI,Kansas,College/University,1821.0,1610612741.0,Chicago Bulls
1726,1991.0,27.0,1.0,27.0,Pete Chilcutt,SAC,North Carolina,College/University,432.0,1610612758.0,Sacramento Kings
1727,1991.0,28.0,2.0,1.0,Kevin Lynch,CHH,Minnesota,College/University,77426.0,1610612766.0,Charlotte Hornets
1728,1991.0,29.0,2.0,2.0,George Ackles,MIA,Nevada-Las Vegas,College/University,83594.0,1610612748.0,Miami Heat
1729,1991.0,30.0,2.0,3.0,Rodney Monroe,ATL,North Carolina State,College/University,77628.0,1610612737.0,Atlanta Hawks
1730,1991.0,31.0,2.0,4.0,Randy Brown,SAC,New Mexico State,College/University,753.0,1610612758.0,Sacramento Kings
1731,1991.0,32.0,2.0,5.0,Chad Gallagher,PHX,Creighton,College/University,76772.0,1610612756.0,Phoenix Suns
1732,1991.0,33.0,2.0,6.0,Donald Hodge,DAL,Temple,College/University,1106.0,1610612742.0,Dallas Mavericks
